address,lat,lng
"Lot 33 Block 7, Dama de Noche Drive, Town & Country Homes, Brgy. Pulung Bulu, San Fernando City, Pampanga",15.1253588,120.6077625
"Lot 1 Block 16, Savannah Crest A, Brgy. Abilay Norte, Oton, Iloilo",10.7441929,122.5012049
"Lots 1539 & 1540 Mariano Gomez St., Brgy. Libertad (Poblacion), Surallah, South Cotabato",6.3702091,124.7426733
"Lots 3, 4-C & 4-D, National Road, Brgy. Luna, Bolinao, Pangasinan",16.3302232,119.894387
"Lot 2925-B Provincial Road, Brgy. New Buswang, Kalibo, Aklan",11.7112491,122.380176
"Lot 3229 unnamed Road, Brgy. Don Carlos Norte, Don Carlos, Bukidnon",7.6992887,124.9864861
"Lot 3 Block 3 Aster St., Avida Settings Batangas Phase 1, Brgy. Poblacion III, San Pascual, Batangas",13.7850964,121.0254759
"Lot 16 Block 26 Dove St., Canyon Woods Subdivision, Brgy. San Gabriel, Laurel, Batangas",14.0215839,120.8909119
"Lot 8 Block 3 Bellavita General Trias Phase 2, Brgy. Talipapa, General Trias, Cavite",14.3565429,120.8562774
"Lot 7 Block 2 Ruby St. corner Citation Ave., Citation Residences, Brgy. Calabuso, Biñan City, Laguna",14.3103961,121.0668323
"Unit 438 The Uptown Place, General Luna Hwy., Brgy. Inday, Iloilo City, Iloilo",10.7004411,122.5610289
"Lot 19 Block 12 Happy Homes Subdivision, Brgy. Ona de Leon Mandurriao, Iloilo City, Iloilo",10.7185861,122.547669
"Lot 14 Block 18 Cardinat St. corner Chestnut St., Emerald Estate Subdivision Phase 1, Brgy. Cagbang, Oton, Iloilo City",10.7012315,122.5061381
"Lot 29 Block 4 Regent Pearl Doña Carmen Subdivision (DC1), Brgy. Alijis, Bacolod City, Negros Occidental",10.6267598,122.9625274
"Lot 13 Block 19 Sarangani Homes Phase 2, Brgy. San Isidro, General Santos City, South Cotabato",6.146046200000001,125.1633139
"Lot 1393 Thomas Pinpin St., Brgy. Libertad (Poblacion), Surallah, South Cotabato",6.371048,124.745518
"Lot 497 Rosal St. corner Carnacion St., Brgy. Libertad (Poblacion), Surallah, South Cotabato",6.376798399999999,124.7510165
"Lot 6587-F-2, Brgy. Barra, Opol, Misamis Oriental",8.5126873,124.6089786
"Lot 3-A, Barangay Road Jariol Compound, Brgy. Upper Macasandig, Cagayan de Oro City, Misamis Oriental",8.4569527,124.6442505
"Lot 5-C-2-C-9-B-2, Brgy. Natumolan, Tagoloan, Misamis Oriental",8.5042394,124.8127381
